site,name,lat,lon,elev
AAC,"Austin Cary Memorial Forest,  Gainesville,  FL, United States",29.7381,-82.2188,44.0
AAO,"Airborne Aerosol Observatory,  Bondville,  Illinois, United States",40.05,-88.37,230.0
ABP,"Arembepe,  Bahia, Brazil",-12.77,-38.17,1.0
ABQ,"Albuquerque,  New Mexico, United States",35.038,-106.6221,1617.0
ABT,"Abbotsford,  British Columbia, Canada",49.0114,-122.3353,60.0
ACG,"Alaska Coast Guard, United States",57.7366,-152.5042,6.0
ACV,"Canaan Valley,  West Virginia, United States",39.119,-79.4523,1026.0
AFP,"Ameriflux,  Fort Peck,  Montana, United States",48.3079,-105.101,0.0
AKD,"Akedala, China",47.1,87.93,562.0
ALT,"Alert,  Nunavut, Canada",82.4508,-62.5072,185.0
AME,"Mead,  Nebraska, United States",41.1649,-96.4701,362.0
AMS,"Amsterdam Island, France",-37.7983,77.5378,55.0
AMT,"Argyle,  Maine, United States",45.0345,-68.6821,53.0
AMY,"Anmyeon-do, Republic of Korea",36.539,126.329,47.0
APP,"Appalachian State, United States",36.2,-81.7,1100.0
ARA,"Arcturus,  Queensland, Australia",-23.8587,148.4746,175.0
ARH,"Arrival Heights,  Antarctica, New Zealand",-77.833,166.2,184.0
ARL,"Arlington,  Virginia, United States",38.8917,-77.1317,111.0
ARN,"El Arenosillo, Spain",37.1,-6.7333,41.0
ARV,"Arvin,  CA, United States",35.239,-118.7887,158.0
ASC,"Ascension Island, United Kingdom",-7.9667,-14.4,85.0
ASK,"Assekrem, Algeria",23.2625,5.6322,2710.0
AWS,"Germantown,  MD, United States",39.2005,-77.2631,161.0
AZR,"Terceira Island,  Azores, Portugal",38.766,-27.375,19.0
AZV,"Azovo, Russia",54.705,73.0292,110.0
BAL,"Baltic Sea, Poland",55.35,17.22,3.0
BAO,"Boulder Atmospheric Observatory,  Colorado, United States",40.05,-105.004,1584.0
BCK,"Behchoko,  Northwest Territories, Canada",62.7981,-115.9194,160.0
BCS,"Baja California Sur, Mexico",23.3,-110.2,4.0
BEA,"Beaverlodge,  Alberta, Canada",55.202,-119.3963,759.0
BER,"Prospect Hill,  Bermuda, United Kingdom",32.3008,-64.766,60.0
BGU,"Begur, Spain",41.97,3.23,11.0
BHD,"Baring Head Station, New Zealand",-41.4083,174.871,85.0
BII,"Biak, Indonesia",-1.1756,136.1006,3.0
BIK,"Bialystok, Poland",53.2,22.75,183.0
BIR,"Birkenes Observatory, Norway",58.3886,8.2519,215.0
BIS,"Bismarck,  North Dakota, United States",46.7718,-100.7596,511.0
BKT,"Bukit Kototabang, Indonesia",-0.202,100.318,845.0
BLD,"Boulder,  Colorado, United States",39.991,-105.2607,1628.0
BLK,"Baker Lake,  Nunavut, Canada",64.3317,-96.0104,51.0
BMW,"Tudor Hill,  Bermuda, United Kingdom",32.2647,-64.8788,30.0
BNA,"Nashville,  Tennessee, United States",36.2468,-86.562,182.0
BND,"Bondville,  Illinois, United States",40.0519,-88.3731,230.0
BOM,"Bombay, India",18.55,72.54,0.0
BOS,"Table Mountain, United States",40.125,-105.2368,1689.0
BRE,"Bremen, Germany",53.11,8.85,0.0
BRI,"Bremen,  IN, United States",41.4579,-86.1935,252.0
BRK,"Burke,  VA, United States",38.7742,-77.2631,111.0
BRM,"Beromunster, Switzerland",47.1896,8.1755,797.0
BRW,"Barrow Atmospheric Baseline Observatory, United States",71.323,-156.6114,11.0
BRZ,"Berezorechka, Russia",56.15,84.3333,168.0
BSC,"Black Sea,  Constanta, Romania",44.1776,28.6647,0.0
BSD,"Bilsdale, United Kingdom",54.359,-1.15,380.0
BUC,"Bucktown,  MD, United States",38.4597,-76.043,3.0
BVA,"Bluemont,  VA, United States",39.1379,-77.8326,486.0
BZH,"Brittany Coast, France",48.58,-4.67,120.0
CAK,"Akron,  Ohio, United States",40.9154,-81.4415,368.0
CAL,"Calcutta, India",22.34,88.24,0.0
CAR,"Briggsdale,  Colorado, United States",40.6347,-104.3269,1488.0
CBM,"Caribou,  Maine, United States",46.868,-68.013,191.0
CBW,"Cabauw, Netherlands",51.9703,4.9264,0.0
CBY,"Cambridge Bay,  Nunavut Territory, Canada",69.1284,-105.0577,35.0
CDL,"Candle Lake,  Saskatchewan, Canada",53.9871,-105.1179,600.0
CFA,"Cape Ferguson,  Queensland, Australia",-19.28,147.057,2.0
CGO,"Cape Grim,  Tasmania, Australia",-40.683,144.69,94.0
CHA,"Chandigarh, India",30.42,76.54,0.0
CHL,"Churchill,  Manitoba, Canada",58.7379,-93.8194,29.0
CHM,"Chibougamau,  Quebec, Canada",49.6925,-74.3432,393.0
CHR,"Christmas Island, Republic of Kiribati",1.7,-157.1518,0.0
CHS,"Cherskii, Russia",68.5135,161.5313,30.0
CIT,"Pasadena,  CA, United States",34.1365,-118.1265,233.0
CMA,"Offshore Cape May,  New Jersey, United States",38.83,-74.32,0.0
CMO,"Cape Meares,  Oregon, United States",45.478,-123.9689,30.0
COP,"Copley Square, United States",42.3471,-71.0825,6.0
COS,"Cosmos, Peru",-12.12,-75.33,4600.0
CPA,"Charles Point,  Darwin, Australia",-12.417,130.567,3.0
CPH,"Capitol Heights,  MD, United States",38.8707,-76.8537,50.0
CPO,"Cheeka Peak,  Washington, United States",48.3,-124.62,0.0
CPR,"Cape San Juan, Puerto Rico,  USA",18.3811,-65.6177,66.0
CPS,"Chapais, Quebec, Canada",49.8223,-74.9753,391.0
CPT,"Cape Point, South Africa",-34.3523,18.4891,230.0
CRI,"Cape Rama, India",15.08,73.83,60.0
CRZ,"Crozet Island, France",-46.4337,51.8478,197.0
CVO,"Cape Verde Observatory, Cabo Verde",16.864,-24.8675,10.0
CYA,"Casey,  Antarctica, Australia",-66.283,110.517,47.0
DEM,"Demyanskoe, Russia",59.7914,70.8711,63.0
DER,"Derwood,  MD, United States",39.1347,-77.1419,125.0
DEU,"Deuselbach, Germany",49.77,7.05,480.0
DHA,"Dhaka, India",23.85,90.4,0.0
DNC,"Danbury,  NC, United States",36.3769,-80.3689,703.0
DNH,"Durham,  NH, United States",43.7089,-72.1541,559.0
DRA,"Desert Rock,  Nevada, United States",36.6237,-116.0195,1007.0
DSI,"Dongsha Island, Taiwan",20.6992,116.7297,3.0
DVV,"Danville,  Virginia, United States",36.7058,-79.4369,277.0
DWN,"Darwin, Australia",-12.425,130.891,0.0
DWS,"Downsview,  Ontario, Canada",43.7805,-79.468,198.0
EDW,"Edwards,  California, United States",34.9056,-117.8832,700.0
EEC,"El Estrecho, Spain",36.0586,-5.664,20.0
EFS,"Entrada Field Station,  Utah, United States",38.8,-109.21,1280.0
EGB,"Egbert,  Ontario, Canada",44.231,-79.7838,251.0
EIC,"Easter Island, Chile",-27.1597,-109.4284,47.0
ELA,"Experimental Lakes Area,  Ontario, Canada",49.6,-93.7,369.0
ELL,"Estany Llong, Spain",42.5748,0.9545,2002.0
ESP,"Estevan Point,   British Columbia, Canada",49.383,-126.5441,7.0
EST,"Esther,  Alberta, Canada",51.6707,-110.206,707.0
